1/3 证明碎片
1/1 书页
1/5 血石碎片
1/5 圣心碎片
1/5 爱情鲜花
1/5 战神·斗笠
1/2 战神头盔
1/10 战神项链
1/2 战神手镯
1/2 战神戒指
1/10 战神圣靴
1/10 战神腰带
1/2 圣魔头盔
1/2 圣魔项链
1/10 圣魔手镯
1/2 圣魔戒指
1/2 圣魔法靴
1/10 圣魔腰带
1/10 真魂头盔
1/10 真魂项链
1/2 真魂手镯
1/10 真魂戒指
1/2 真魂道靴
1/10 真魂腰带
1/10 技能神石
1/10 镇天
1/10 开天
1/20 玄天
1/20 凤天魔甲
1/10 凰天魔衣
1/5 星王战刃
1/5 星王战甲
1/58 星王战衣
1/5 星王道剑
1/5 星王道袍
1/50 星王道衣
1/50 星王法剑
1/5 星王魔袍
1/8 星王魔衣
1/50 星王战链
1/1 星王战镯
1/1 星王战戒
1/50 星王战带
1/1 星王战靴
1/8 星王战盔
1/10 星王法链
1/1 星王法镯
1/10 星王法戒
1/1 星王法带
1/50 星王法靴
1/1 星王法盔
1/50 星王道链
1/1 星王道镯
1/8 星王道戒
1/8 星王道带
1/8 星王道靴
1/8 星王道盔
1/300 极品星王战刃
1/100 极品星王战甲
1/100 极品星王战袍
1/100 极品星王法剑
1/100 极品星王魔袍
1/200 极品星王魔衣
1/200 极品星王道剑
1/200 极品星王道袍
1/200 极品星王道衣
1/5 极品星王战链
1/50 极品星王战镯
1/50 极品星王战戒
1/5 极品星王战带
1/1 极品星王战靴
1/80 极品星王战盔
1/10 极品星王法链
1/80 极品星王法镯
1/50 极品星王法戒
1/50 极品星王法带
1/5 极品星王法靴
1/8 极品星王法盔
1/20 极品星王道链
1/50 极品星王道镯
1/50 极品星王道戒
1/100 极品星王道带
1/100 极品星王道靴
1/100 极品星王道盔
1/500 泰斗Ⅰ战链
1/800 泰斗Ⅰ战镯
1/800 泰斗Ⅰ战戒
1/100 泰斗Ⅰ战带
1/200 泰斗Ⅰ战靴
1/300 泰斗Ⅰ战盔
1/100 泰斗Ⅰ法链
1/300 泰斗Ⅰ法镯
1/300 泰斗Ⅰ法戒
1/100 泰斗Ⅰ法带
1/100 泰斗Ⅰ法靴
1/100 泰斗Ⅰ法盔
1/100 泰斗Ⅰ道链
1/600 泰斗Ⅰ道镯
1/400 泰斗Ⅰ道戒
1/500 泰斗Ⅰ道带
1/500 泰斗Ⅰ道靴
1/500 泰斗Ⅰ道盔
1/3000 泰斗Ⅰ战袍
1/4000 泰斗Ⅰ战甲
1/4000 泰斗Ⅰ道衣
1/3000 泰斗Ⅰ道袍
1/2000 泰斗Ⅰ魔衣
1/2000 泰斗Ⅰ魔袍
1/5000 泰斗Ⅰ战刃
1/3000 泰斗Ⅰ道扇
1/3000 泰斗Ⅰ法杖
1/4000 北戰·神链
1/12000 北戰·神镯
1/12000 北戰·神戒
1/8000 北戰·神带
1/8000 北戰·神靴
1/8000 北戰·神盔

1/1 10颗北戰币
1/1 10颗北戰币
1/1 10颗北戰币
1/1 10颗北戰币
1/1 50颗北戰币
1/1 100颗北戰币
