1/150 证明碎片
1/10   新手聚灵珠(赠品)
1/10   通用聚灵珠(大)
1/100   超级通用聚灵珠(大)
1/1 书页
1/5 血石碎片
1/5 圣心碎片
1/5 爱情鲜花
1/5 战神斗笠
1/10 战神头盔
1/10 战神项链
1/10 战神手镯
1/10 战神戒指
1/10 战神圣靴
1/10 战神腰带
1/10 圣魔头盔
1/10 圣魔项链
1/10 圣魔手镯
1/10 圣魔戒指
1/10 圣魔法靴
1/10 圣魔腰带
1/10 真魂头盔
1/10 真魂项链
1/10 真魂手镯
1/10 真魂戒指
1/10 真魂道靴
1/10 真魂腰带
1/60 镇天
1/63 开天
1/56 玄天
1/53 凤天魔甲
1/50 凰天魔衣

1/100 技能神石

1/151 星王战刃
1/152 星王战甲
1/153 星王战衣
1/154 星王道剑
1/155 星王道袍
1/156 星王道衣
1/157 星王法剑
1/158 星王魔袍
1/159 星王魔衣

1/5 星王战链
1/6 星王战镯
1/7 星王战戒
1/8 星王战带
1/9 星王战靴
1/7 星王战盔
1/5 星王法链
1/6 星王法镯
1/7 星王法戒
1/8 星王法带
1/5 星王法靴
1/6 星王法盔
1/7 星王道链
1/8 星王道镯
1/5 星王道戒
1/6 星王道带
1/7 星王道靴
1/8 星王道盔

1/485 极品星王战刃
1/453 极品星王战甲
1/458 极品星王战袍
1/480 极品星王法剑
1/438 极品星王魔袍
1/436 极品星王魔衣
1/482 极品星王道剑
1/451 极品星王道袍
1/457 极品星王道衣

1/25 极品星王战链
1/34 极品星王战镯
1/32 极品星王战戒
1/27 极品星王战带
1/26 极品星王战靴
1/29 极品星王战盔

1/23 极品星王法链
1/31 极品星王法镯
1/35 极品星王法戒
1/23 极品星王法带
1/23 极品星王法靴
1/27 极品星王法盔

1/28 极品星王道链
1/33 极品星王道镯
1/39 极品星王道戒
1/22 极品星王道带
1/20 极品星王道靴
1/29 极品星王道盔

1/1251 泰斗Ⅰ战链
1/1251 泰斗Ⅰ战带
1/1257 泰斗Ⅰ战靴
1/1254 泰斗Ⅰ战盔

1/1262 泰斗Ⅰ法链
1/1222 泰斗Ⅰ法带
1/1253 泰斗Ⅰ法靴
1/1287 泰斗Ⅰ法盔

1/1299 泰斗Ⅰ道链
1/1254 泰斗Ⅰ道带
1/1252 泰斗Ⅰ道靴
1/1257 泰斗Ⅰ道盔
1/10000 人物等级卷
1/10000 英雄等级卷
1/100 1人民币卷
1/50 100颗北戰币
1/100 超级通用聚灵珠(大)
